,importance,stddev,p_value,n,p99_high,p99_low
Feat 515,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 384,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 454,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 470,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 467,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 465,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 463,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 458,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 535,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 455,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 536,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 474,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
Feat 537,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
